# i,j,k,Xi,Yj,Zk,Bxi,Bxj,Bxk,Bmagnitude,Gradientx,Bgradienty,Bgradientz
0.000000000000000000e+00,5.000000000000000000e+00,7.000000000000000000e+00,-5.000000000000000000e+00,5.555555555555553582e-01,2.777777777777778567e+00,-3.169300591687529252e-09,5.881795165694624470e-10,4.345659624826454146e-09,5.410654208044495466e-09,2.680227807202256299e-09,1.569290816889649108e-10,-3.231410217837523085e-10
0.000000000000000000e+00,5.000000000000000000e+00,8.000000000000000000e+00,-5.000000000000000000e+00,5.555555555555553582e-01,3.888888888888889284e+00,-3.114330884318654277e-09,3.088853126530817254e-10,3.732101509624818038e-09,4.870631239535348977e-09,1.908731168529476280e-09,8.881801405486142349e-11,-6.275213967911967821e-10
0.000000000000000000e+00,5.000000000000000000e+00,9.000000000000000000e+00,-5.000000000000000000e+00,5.555555555555553582e-01,5.000000000000000000e+00,-2.818357220480686026e-09,1.166298865359321680e-10,3.051616993552550362e-09,4.155611414462101902e-09,1.234216308633638049e-09,4.618460323291812782e-11,-7.150198250732470749e-10
0.000000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00,-5.000000000000000000e+00,1.666666666666666963e+00,-5.000000000000000000e+00,1.132229233150556222e-09,9.933884534165892231e-10,8.545476736826220175e-10,1.731766549618764495e-09,4.831730686244541904e-10,1.561394840241232517e-10,3.865814935795874384e-10
0.000000000000000000e+00,6.000000000000000000e+00,1.000000000000000000e+00,-5.000000000000000000e+00,1.666666666666666963e+00,-3.888888888888888840e+00,1.065052966890729359e-09,1.216741497028260324e-09,1.368430027165791288e-09,2.118348043198351933e-09,6.434797397904056829e-10,2.010188757208007891e-10,4.709188808747043493e-10
0.000000000000000000e+00,6.000000000000000000e+00,2.000000000000000000e+00,-5.000000000000000000e+00,1.666666666666666963e+00,-2.777777777777777679e+00,8.085637186187870216e-10,1.451577043692198950e-09,2.094590368765611292e-09,2.673604311368173194e-09,8.974381692346954654e-10,2.191808769167436720e-10,6.617950909923489105e-10
0.000000000000000000e+00,6.000000000000000000e+00,3.000000000000000000e+00,-5.000000000000000000e+00,1.666666666666666963e+00,-1.666666666666666519e+00,2.735507460993241312e-10,1.642857139861406643e-09,3.012163533623488947e-09,3.441938225183049754e-09,1.359811375239988779e-09,1.691793430616727444e-10,8.387255833033005038e-10
0.000000000000000000e+00,6.000000000000000000e+00,4.000000000000000000e+00,-5.000000000000000000e+00,1.666666666666666963e+00,-5.555555555555553582e-01,-5.525848854226975799e-10,1.705894363423308652e-09,3.964373612269315193e-09,4.351055477974774201e-09,2.094583913480084768e-09,3.542439816565836071e-11,8.501968412605157266e-10
0.000000000000000000e+00,6.000000000000000000e+00,5.000000000000000000e+00,-5.000000000000000000e+00,1.666666666666666963e+00,5.555555555555553582e-01,-1.508585654907970821e-09,1.574297614791090632e-09,4.657180884490151464e-09,5.142331907704081208e-09,2.806743269337370071e-09,-1.340901478278236550e-10,5.764957663461312699e-10
0.000000000000000000e+00,6.000000000000000000e+00,6.000000000000000000e+00,-5.000000000000000000e+00,1.666666666666666963e+00,1.666666666666666963e+00,-2.298527555017867400e-09,1.269408696024516274e-09,4.837344947066899948e-09,5.504047010667036741e-09,2.961574330709890326e-09,-2.560272784122634949e-10,9.407201124752063664e-11
